AccountNumber,Famille,Pays de facturation,Ville de facturation,Region/Province de facturation,Rue de facturation,Code postal de facturation,AccountSource,Telephone
1,Famille Airton,Canada,Moncton,NB,2432 Kenwood Drive,T1J1J3,Page Web,9679924128
2,Famille Willgoss,Canada,Toronto,ON,5384 Emmet Hill,E4S4S9,Telephone,5806558990
3,Famille Bockett,Canada,Calgary,AB,18 Logan Place,N6C6C4,Page Web,5784432631
4,Famille Peaurt,Canada,Halifax,NS,54 Luster Park,J3H3H7,Page Web,4662282538
5,Famille Haldin,Canada,Vancouver,BC,26954 Kings Place,T9M9M1,Telephone,1089572518
6,Famille Dederich,Canada,Ottawa,ON,654 Westridge Hill,G5N5N7,Telephone,2668562290
7,Famille O'Brollachain,Canada,Regina,SK,511 Del Sol Street,V9L9L7,Page Web,9802930317
8,Famille Tousy,Canada,Edmonton,AB,13929 Shasta Trail,S7K7K2,Telephone,6222480824
9,Famille Bucklan,Canada,Kelowna,BC,064 Reinke Place,N5L5L5,Telephone,2383158253
10,Famille Carlesso,Canada,Toronto,ON,6852 Bartelt Point,J6A6A8,Page Web,2923617541
11,Famille Izsak,Canada,Vancouver,BC,86 Sutteridge Center,K7V7V3,Telephone,4461669060
12,Famille Inderwick,Canada,Regina,SK,2 Mesta Park,G6E6E4,Page Web,1728052976
13,Famille Castiblanco,Canada,Moncton,NB,24 Dapin Lane,L1Z1Z4,Page Web,7226215717
14,Famille Patrick,Canada,Kelowna,BC,6449 Brown Plaza,K1Y1Y2,Page Web,4069662049
15,Famille Inder,Canada,Halifax,NS,9 Gulseth Trail,A1X1X4,Page Web,4116932711
16,Famille Daily,Canada,Vancouver,BC,07 Veith Drive,J0N0N8,Telephone,5809116607
17,Famille Gamlen,Canada,Edmonton,AB,56 Roxbury Drive,H7V7V8,Telephone,6267936181
18,Famille Hinkensen,Canada,Richmond,BC,7 Cottonwood Terrace,P4P4P5,Autre,5819559684
19,Famille Pitchers,Canada,Surrey,BC,8049 Elmside Hill,L7E7E3,Autre,2093931996
20,Famille Redgate,Canada,Hamilton,ON,19 Welch Point,R8N8N4,Telephone,5152960735
21,Famille Filon,Canada,Quebec City,QC,6604 8th Parkway,N2E2E7,Page Web,3004883210
22,Famille Craighall,Canada,Toronto,ON,602 Westport Alley,J5K5K7,Page Web,1582574543
23,Famille Angell,Canada,Regina,SK,584 Atwood Pass,N3E3E6,Page Web,2204760482
